Mass_ID,Isobar,Stage1_hit,Stage2_hit,Hash,Hex,HexNAc,Neu5Ac,Fuc,NCore,DM1,MCC,Exp. Mass,Theo. Mass,Da,ppm,ch_A,ch_B,Abundance,Permutations,Permutation abundance
119,6039,2,1,2178225571527952377,3,4,0,0,9,0,0,154506.24478,154501.678,4.5667799999937415,29.55812557578657,Unglycosylated,A2G0,0.3800313946857787,2,0.7600627893715574
119,6042,2,0,7321149072039345862,9,5,0,0,1,6,1,154506.24478,154501.6516,4.5931799999962095,29.729002586249436,M5,A1G1,0.11215321979175699,2,0.22430643958351398
119,6042,2,1,-2530982825719177821,9,5,0,0,1,6,1,154506.24478,154501.6516,4.5931799999962095,29.729002586249436,A1G0,M6,0.05583899714208241,2,0.11167799428416482
119,6042,2,2,7321149072039345862,9,5,0,0,1,6,1,154506.24478,154501.6516,4.5931799999962095,29.729002586249436,A1G1,M5,0.11215321979175699,2,0.22430643958351398
119,6042,2,3,-2530982825719177821,9,5,0,0,1,6,1,154506.24478,154501.6516,4.5931799999962095,29.729002586249436,M6,A1G0,0.05583899714208241,2,0.11167799428416482
120,6072,0,0,-7124418777217594281,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A2G0F,A1G1,0.7592879476713295,2,1.518575895342659
120,6072,0,1,5326809305034651244,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A2G1F,A1G0,2.7280367726911536,2,5.456073545382307
120,6072,0,2,3243890467681034002,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A1G0F,A2G1,0.7892285892714357,2,1.5784571785428714
120,6072,0,3,3007179775047369534,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A2G0,A1G1F,0.617839061049202,2,1.235678122098404
120,6072,0,4,3007179775047369534,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A1G1F,A2G0,0.617839061049202,2,1.235678122098404
120,6072,0,5,5326809305034651244,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A1G0,A2G1F,2.7280367726911536,2,5.456073545382307
120,6072,0,6,3243890467681034002,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A2G1,A1G0F,0.7892285892714357,2,1.5784571785428714
120,6072,0,7,-7124418777217594281,7,7,0,1,4,3,1,154537.878648,154535.74680000002,2.1318479999899864,13.795177129787463,A1G1,A2G0F,0.7592879476713295,2,1.518575895342659
120,6096,0,0,335502197936977398,7,7,1,1,5,2,0,154537.878648,154541.0352,-3.1565520000003744,-20.425332313293406,A1G0,A2S1G0F,0.03434733110092733,2,0.06869466220185466
120,6096,0,1,335502197936977398,7,7,1,1,5,2,0,154537.878648,154541.0352,-3.1565520000003744,-20.425332313293406,A2S1G0F,A1G0,0.03434733110092733,2,0.06869466220185466
120,6100,1,0,6376557661218153622,8,7,0,1,3,4,0,154537.878648,154541.35540000003,-3.476752000016859,-22.497227302154606,A2G1F,A1G1,0.684911359952247,2,1.369822719904494
120,6100,1,1,3708084792803615856,8,7,0,1,3,4,0,154537.878648,154541.35540000003,-3.476752000016859,-22.497227302154606,A2G2F,A1G0,0.47571053574784355,2,0.9514210714956871
120,6100,1,2,5817712136133063102,8,7,0,1,3,4,0,154537.878648,154541.35540000003,-3.476752000016859,-22.497227302154606,A1G1F,A2G1,0.29924564125973874,2,0.5984912825194775
120,6100,1,3,3708084792803615856,8,7,0,1,3,4,0,154537.878648,154541.35540000003,-3.476752000016859,-22.497227302154606,A1G0,A2G2F,0.47571053574784355,2,0.9514210714956871
120,6100,1,4,5817712136133063102,8,7,0,1,3,4,0,154537.878648,154541.35540000003,-3.476752000016859,-22.497227302154606,A2G1,A1G1F,0.29924564125973874,2,0.5984912825194775
120,6100,1,5,6376557661218153622,8,7,0,1,3,4,0,154537.878648,154541.35540000003,-3.476752000016859,-22.497227302154606,A1G1,A2G1F,0.684911359952247,2,1.369822719904494
120,6101,0,0,-1219050057080621297,7,8,0,2,6,1,0,154537.878648,154534.39760000003,3.481047999986913,22.526039859406115,A2G0F,A2G1F,40.885725589013795,2,81.77145117802759
